Country,City,Lat,Lng,Wind Level,Max Temperature,Humidity,Date,Cloudiness
RE,saint-philippe,-21.36,55.77,10.29,68.0,56,1591478043,75
ZA,bredasdorp,-34.53,20.04,5.82,51.8,93,1591478017,0
CA,yellowknife,62.46,-114.35,11.41,66.0,34,1591478033,75
PT,porto novo,41.15,-8.61,6.93,62.01,87,1591478044,75
PF,rikitea,-23.12,-134.97,29.59,74.93,85,1591478044,100
US,kapaa,22.08,-159.32,13.87,80.6,74,1591478028,20
US,hilo,19.73,-155.09,8.05,84.2,58,1591478032,90
PH,punta arenas,8.99,125.34,4.43,77.85,83,1591478045,99
CN,korla,41.76,86.15,2.04,61.05,32,1591478045,73
MU,bambous virieux,-20.26,57.41,12.75,69.8,83,1591478029,75
RU,nikolskoye,59.7,30.79,2.24,55.4,87,1591478028,20
CD,port alfred,-7.03,29.76,2.55,75.22,57,1591478046,52
SA,turayf,31.67,38.66,17.22,86.0,23,1591478046,0
PF,atuona,-9.8,-139.03,14.63,81.32,78,1591478018,1
AU,hobart,-42.88,147.33,10.29,39.2,80,1591478022,20
US,jamestown,42.1,-79.24,13.87,73.99,40,1591478017,1
NZ,ngunguru,-35.62,174.5,1.99,50.0,98,1591478047,15
US,tucumcari,35.17,-103.72,28.86,98.6,17,1591478047,1
CK,avarua,-21.21,-159.78,8.05,75.2,53,1591478047,89
MV,hithadhoo,-0.6,73.08,10.6,84.4,74,1591478026,39
US,humboldt,40.67,-123.92,12.75,59.0,67,1591478048,75
IR,bafq,31.61,55.41,4.0,87.89,12,1591478048,30
AU,busselton,-33.65,115.33,14.58,60.01,87,1591478020,100
NE,arlit,18.74,7.39,13.98,94.15,28,1591478049,99
NZ,mataura,-46.19,168.86,7.16,41.07,86,1591478019,83
CA,iqaluit,63.75,-68.51,5.82,39.0,86,1591478049,90
UA,lazurne,46.08,32.53,3.09,63.99,79,1591478049,13
AR,ushuaia,-54.8,-68.3,7.81,37.67,79,1591477813,69
GL,paamiut,61.99,-49.67,4.05,43.21,92,1591478050,100
ZA,hermanus,-34.42,19.23,6.89,53.01,92,1591478016,34
RU,krasnoselkup,65.7,82.47,13.09,41.94,65,1591478051,0
CV,assomada,15.1,-23.68,17.22,77.0,65,1591478051,20
US,bethel,41.37,-73.41,11.41,86.0,42,1591478051,1
PH,dingle,11.0,122.67,3.74,78.42,73,1591478024,100
HK,victoria,22.29,114.16,15.99,84.0,83,1591477968,100
US,albany,42.6,-73.97,15.12,84.0,30,1591477827,0
PG,kavieng,-2.57,150.8,5.06,83.01,62,1591478037,100
TO,vaini,-21.2,-175.2,5.82,75.2,100,1591478020,90
GF,cayenne,4.93,-52.33,6.93,84.2,74,1591478052,100
ET,asosa,10.07,34.53,4.81,64.29,90,1591478053,100
PH,marawi,8.0,124.29,1.9,69.3,93,1591478053,100
ML,san cristobal,13.3,-4.9,4.05,92.3,34,1591478053,70
ES,mar del plata,43.4,-4.01,6.93,60.8,87,1591478054,90
MZ,chokwe,-24.53,32.98,4.81,60.58,92,1591478054,0
LY,awbari,26.59,12.78,9.26,88.29,17,1591478054,0
RU,mys shmidta,62.06,48.62,4.63,56.77,94,1591478054,99
US,loa janan,38.4,-111.64,10.0,69.01,31,1591478054,41
IN,losal,27.4,74.92,8.5,85.68,46,1591478055,26
GL,narsaq,60.92,-46.05,10.29,51.8,66,1591478055,100
UA,tsybli,49.99,31.56,2.24,68.0,77,1591478055,100
ES,puerto ayora,36.59,-6.23,11.41,71.01,73,1591478028,0
MR,nouadhibou,20.93,-17.03,23.04,73.4,83,1591478055,0
TL,airai,-8.93,125.41,2.64,53.01,100,1591478056,95
CA,torbay,47.67,-52.73,17.22,66.0,82,1591477922,75
RU,talnakh,69.49,88.4,22.37,33.8,74,1591478056,75
UY,chuy,-33.7,-53.46,4.59,54.91,89,1591478056,49
MU,souillac,-20.52,57.52,12.75,69.8,83,1591478056,75
RU,kalinovskoye,44.86,42.96,7.94,59.88,69,1591478058,47
US,fortuna,40.6,-124.16,12.75,59.0,67,1591478058,75
